Geneid	gene	Metastatic..N.58.	Normal..N.52.	Tumor..N.491.	BMI1_1_sorted.bam	BMI1_2_sorted.bam	Length	BMI1_1_rpkm	BMI1_2_rpkm	rank1	rank2	gene_name	T_id
ENSG00000260032.1	NORAD	52.79203	51.00638	48.57576	5951	4866	5339	111.4628208	91.14066305	4	5	 gene_name LINC00657	 cmp_ref T217062
ENSG00000267100.1	ILF3-DT	8.892823	13.934975	13.2708	1262	1174	1983	63.64094806	59.20322743	10	9	 gene_name ILF3-AS1	 cmp_ref T168322
ENSG00000275234.1		10.58878	12.71904	19.33544	426	273	688	61.91860465	39.68023256	11	16	 gene_name CTD-2396E7.11	 cmp_ref T167059
ENSG00000265519.1		2.178185	8.099649	3.290698	211	128	347	60.80691643	36.88760807	12	18	 gene_name CTD-3157E16.1	 cmp_ref T142346
ENSG00000238123.1	MID1IP1-AS1	1.972417	1.053495	1.477746	198	123	376	52.65957447	32.71276596	14	20	 gene_name MID1IP1-AS1	 cmp_ref T373173
ENSG00000244300.2	GATA2-AS1	7.396748	4.157547	5.112214	1150	624	2283	50.37231713	27.33245729	16	27	 gene_name GATA2-AS1	 cmp_ref T250094
ENSG00000244300.2	GATA2-AS1	7.396748	4.157547	5.112214	1150	624	2283	50.37231713	27.33245729	16	27	 gene_name GATA2-AS1	 cmp_ref T250092
ENSG00000272106.1		4.100225	3.954905	4.939424	656	446	2038	32.18842002	21.8842002	26	32	 gene_name RP11-345P4.9	 cmp_ref T000876
ENSG00000230733.2		5.24476	1.719216	2.547294	881	756	3251	27.09935404	23.25438327	33	31	 gene_name AC092171.4	 cmp_ref T317966
ENSG00000271122.1		3.308979	2.388268	2.682268	1022	554	4200	24.33333333	13.19047619	41	65	 gene_name RP11-379H18.1	 cmp_ref T321568
ENSG00000266469.1		9.194245	6.948512	7.701917	205	153	860	23.8372093	17.79069767	43	47	 gene_name CTB-131K11.1	 cmp_ref T146739
ENSG00000235280.2	MCF2L-AS1	5.524221	2.696864	4.347358	165	103	712	23.1741573	14.46629213	46	61	 gene_name MCF2L-AS1	 cmp_ref T099580
